# occ1 to occ3 : Counts on each of three visits to each site,,,,,,,,,,,,
# elevation : site elevation(m),,,,,,,,,,,,
# forest : forest cover (%),,,,,,,,,,,,
# dur1 to dur3 : Duration of each visit,,,,,,,,,,,,
# day1 to day3 : Julien date of each visit,,,,,,,,,,,,
#,,,,,,,,,,,,
northing,easting,occ1,occ2,occ3,elevation,forest,dur1,dur2,dur3,day1,day2,day3
65276,1007942,6,6,5,1830,82,320,295,310,60,72,74
192276,987942,0,0,0,650,0,240,210,170,22,45,56
221276,1163942,2,1,0,1140,50,165,165,180,25,46,70
112276,1256942,0,0,0,550,67,300,300,300,29,38,50
71276,928942,0,0,0,510,2,210,225,235,28,56,73
150276,1250942,0,0,0,830,42,300,315,295,21,56,72
109276,1092942,1,0,0,1290,48,290,300,300,28,45,55
82276,1136942,0,0,0,530,33,220,245,240,18,31,61
169276,1098942,0,0,0,1220,84,135,150,135,30,60,74
129276,1162942,2,4,1,1400,16,255,255,270,49,91,92
